,natural_flow_trend_index,pay_flow_trend_index,UV_VALUE,COMMENT_CNT,date_time,INCR_FANS_CNT,LEAVE_UCNT,FANS_CLUB_UCNT,PAY_ORDER_GMV,ONLINE_USER_CNT,WATCH_UCNT,PAY_CNT,PAY_UCNT
13,"{'短视频引流': 1, '抖音商城推荐': 0, '直播推荐': 14, '搜索': 1, '个人主页&店铺&橱窗': 1, '其他': 2, '头条西瓜': 0, '活动页': 0, '全部自然流量': 25, '关注': 6}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,100,2019-12-02 08:25:00,0.0,20.0,0.0,0.0,56,23.0,0.0,0.0
14,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 10, '搜索': 2, '个人主页&店铺&橱窗': 0, '其他': 2, '头条西瓜': 0, '活动页': 0, '全部自然流量': 20, '关注': 6}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,71,2019-12-02 08:26:00,1.0,12.0,0.0,0.0,65,21.0,0.0,0.0
15,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 11, '搜索': 0, '个人主页&店铺&橱窗': 1, '其他': 4, '头条西瓜': 0, '活动页': 0, '全部自然流量': 21, '关注': 5}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,11,2019-12-02 08:27:00,0.0,23.0,0.0,0.0,71,26.0,0.0,0.0
16,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 15, '搜索': 0, '个人主页&店铺&橱窗': 1, '其他': 2, '头条西瓜': 0, '活动页': 1, '全部自然流量': 30, '关注': 11}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,9,2019-12-02 08:28:00,1.0,15.0,0.0,0.0,75,24.0,0.0,0.0
17,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 7, '搜索': 1, '个人主页&店铺&橱窗': 1, '其他': 1, '头条西瓜': 0, '活动页': 1, '全部自然流量': 24, '关注': 13}","{'千川PC版': 1, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 1, '品牌广告': 0, '小店随心推': 0}",0.0,16,2019-12-02 08:29:00,0.0,19.0,2.0,0.0,88,30.0,0.0,0.0
18,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 6, '搜索': 2, '个人主页&店铺&橱窗': 0, '其他': 0, '头条西瓜': 0, '活动页': 0, '全部自然流量': 20, '关注': 12}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",96.0,12,2019-12-02 08:30:00,1.0,6.0,2.0,9500.0,98,14.0,1.0,1.0
19,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 6, '搜索': 2, '个人主页&店铺&橱窗': 0, '其他': 0, '头条西瓜': 0, '活动页': 0, '全部自然流量': 15, '关注': 7}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,4,2019-12-02 08:31:00,1.0,52.0,0.0,0.0,98,14.0,0.0,0.0
20,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 5, '搜索': 2, '个人主页&店铺&橱窗': 0, '其他': 1, '头条西瓜': 0, '活动页': 0, '全部自然流量': 14, '关注': 6}","{'千川PC版': 1, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 1, '品牌广告': 0, '小店随心推': 0}",0.0,0,2019-12-02 08:32:00,0.0,34.0,0.0,0.0,54,19.0,0.0,0.0
21,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 10, '搜索': 0, '个人主页&店铺&橱窗': 0, '其他': 0, '头条西瓜': 0, '活动页': 0, '全部自然流量': 18, '关注': 8}","{'千川PC版': 1, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 1, '品牌广告': 0, '小店随心推': 0}",0.0,1,2019-12-02 08:33:00,0.0,31.0,0.0,0.0,38,22.0,0.0,0.0
22,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 10, '搜索': 1, '个人主页&店铺&橱窗': 0, '其他': 0, '头条西瓜': 0, '活动页': 0, '全部自然流量': 26, '关注': 15}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,0,2019-12-02 08:34:00,0.0,21.0,0.0,0.0,27,22.0,0.0,0.0
23,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 8, '搜索': 0, '个人主页&店铺&橱窗': 0, '其他': 1, '头条西瓜': 0, '活动页': 0, '全部自然流量': 19, '关注': 10}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,1,2019-12-02 08:35:00,1.0,18.0,1.0,0.0,29,18.0,0.0,0.0
24,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 6, '搜索': 0, '个人主页&店铺&橱窗': 0, '其他': 2, '头条西瓜': 0, '活动页': 0, '全部自然流量': 17, '关注': 9}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,0,2019-12-02 08:36:00,0.0,14.0,0.0,0.0,30,12.0,0.0,0.0
25,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 2, '搜索': 0, '个人主页&店铺&橱窗': 0, '其他': 1, '头条西瓜': 0, '活动页': 0, '全部自然流量': 11, '关注': 8}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,1,2019-12-02 08:37:00,0.0,15.0,0.0,0.0,26,14.0,0.0,0.0
26,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 8, '搜索': 0, '个人主页&店铺&橱窗': 0, '其他': 0, '头条西瓜': 0, '活动页': 0, '全部自然流量': 17, '关注': 9}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,1,2019-12-02 08:38:00,0.0,20.0,1.0,0.0,26,22.0,0.0,0.0
27,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 11, '搜索': 3, '个人主页&店铺&橱窗': 0, '其他': 1, '头条西瓜': 0, '活动页': 0, '全部自然流量': 21, '关注': 6}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,2,2019-12-02 08:39:00,0.0,17.0,0.0,0.0,28,16.0,0.0,0.0
28,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 5, '搜索': 1, '个人主页&店铺&橱窗': 0, '其他': 0, '头条西瓜': 0, '活动页': 0, '全部自然流量': 15, '关注': 9}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,2,2019-12-02 08:40:00,0.0,15.0,0.0,0.0,30,21.0,0.0,0.0
29,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 10, '搜索': 0, '个人主页&店铺&橱窗': 0, '其他': 0, '头条西瓜': 0, '活动页': 0, '全部自然流量': 15, '关注': 5}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,0,2019-12-02 08:41:00,0.0,17.0,0.0,0.0,35,18.0,0.0,0.0
30,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 10, '搜索': 0, '个人主页&店铺&橱窗': 0, '其他': 2, '头条西瓜': 0, '活动页': 0, '全部自然流量': 19, '关注': 7}","{'千川PC版': 1, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 1, '品牌广告': 0, '小店随心推': 0}",0.0,0,2019-12-02 08:42:00,0.0,17.0,0.0,0.0,35,18.0,0.0,0.0
31,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 5, '搜索': 2, '个人主页&店铺&橱窗': 1, '其他': 1, '头条西瓜': 0, '活动页': 0, '全部自然流量': 18, '关注': 9}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,1,2019-12-02 08:43:00,0.0,11.0,0.0,0.0,38,16.0,0.0,0.0
